 timespent    purchase  months
146  26.678078   10.859236    15.0
147  27.954415    9.485247    12.0
148  30.704111    7.496921    18.0
149  50.706844   22.312596    -2.0
150  16.998307   25.024547    12.0
151   9.814403  100.421611    27.0
152  29.948892   12.345458    16.0
153  49.678909   16.894273     0.0
154  29.930630   10.468429    18.0
155  10.407461   91.999208    13.0
156  50.387664   20.328184     4.0
157  30.448904   12.094197    18.0
158  13.476999   99.032150    15.0
159  12.146611   34.742817    18.0
160  28.964777   10.447576    15.0
161  30.543158    7.446503    13.0
162  30.558043   11.215793    15.0
163  28.725226   12.378033    18.0
164   6.856042   24.675068     8.0
165  51.818030   16.158712     7.0
166  30.521348    8.899390    14.0
167  12.072842  101.827387    10.0
168  54.779560   18.466353    -1.0
169  20.088913   89.948965    18.0
170   9.190462   97.892274    -0.0
171   7.302805  100.794621    15.0
172  52.270966   17.233504     5.0
173  32.130961    8.965423    18.0
174  28.746066   13.624897    16.0
175  33.471928   10.395822    14.0
176  47.180361   18.458399    -1.0
177  51.417792   20.768089     5.0
178  27.893169    8.752462    19.0
179   9.495929  107.024730    13.0
180  13.737280   24.532485    14.0
181  26.968512   13.095010    19.0
182  13.271065   35.560830    17.0
183  29.064598   10.693008    15.0
184  16.429382   31.963900    18.0
185  15.537224   93.634288    20.0
186   8.357890   90.092405     7.0
187  48.846333   23.018878     0.0
188  19.163770   24.441710     8.0
189  30.076007   10.240063    16.0
190  46.975741   14.387624     1.0
191  47.666550   16.668272     7.0
192   7.770033   24.520788    15.0
193   5.102807   29.163907    12.0
194  28.889601   13.762314    12.0
195  33.147974    7.548469    12.0
196  11.554314   39.971998    15.0
197  14.166099   94.272455    25.0
198  48.012129   21.711796    -0.0
199  53.431262   21.015489     1.0
200  49.887096   23.309906     2.0
201  13.635426  110.729172     9.0
202  47.277309   18.269686     4.0
203  20.232797   27.743010    16.0
204  53.713449   15.216717     0.0
205  34.597796    9.274323    14.0
206  28.538140    9.933746    19.0
207   6.189321  100.776458     2.0
208  53.603642   18.775774    -4.0
209  44.860596   24.061617     2.0
210  20.318837   26.785302    22.0
211  30.293427   12.413018    13.0
212  31.277460    7.713990    18.0
213  13.798217   24.060408     5.0
214  57.720079   20.177655     2.0
215  29.032228    9.359305    16.0
216  29.901073   11.349639    13.0
217  29.082231   12.157362    15.0
218   9.749218  110.952506    -8.0
219  14.944373   34.365240    17.0
220  10.642325   86.087018     8.0
221  48.201822   13.628313     0.0
222  32.390093    6.953626    14.0
223  49.235068   24.511979    -6.0
224  14.272592   99.853689    11.0
225  49.337091   21.842500     4.0
226  35.120169    9.807880    17.0
227  50.610391   17.730948    -2.0
228  11.462045   86.282309     1.0
229  43.094237   15.454427     6.0
230  28.748875   10.791607    16.0
231  43.754212   25.089369     3.0
232  11.578686   25.216468    17.0
233  13.312663   99.490198     4.0
234  28.593647    9.930023    19.0
235   4.961091   96.775529    17.0
236   9.866887   92.982294    10.0
237  20.849541   94.517227     8.0
238  50.996942   17.754540     7.0
239   2.596023  105.757814     1.0
240  10.012184   31.747753    20.0
241  14.801656   27.372423    11.0
242  12.651525   34.693895    16.0
243  15.541639  104.368839    14.0
244   9.146229   35.962905    16.0
245  48.369726   17.861463     2.0
246  13.797920   96.756076     7.0
247  30.986636   10.369672    13.0
248  34.806831    9.884762    15.0
249  44.585354   15.117373     2.0
250   5.319548   22.792078    17.0
251  34.153496   10.763871    16.0
252   4.197035   96.078733    15.0
253  30.668914   11.317089    19.0
254  54.996423   23.043110    -4.0
255   9.258849   29.480717    15.0
256  13.927062   28.700674     5.0
257   1.819254  107.999760    15.0
258   6.053928   94.244457    12.0
259  10.226600   32.118771    15.0
260  11.239283   32.535108    17.0
261  49.622639   20.167175     5.0
262   8.584651   98.476232    18.0
263  49.709861   18.365243     3.0
264   7.815022   31.567216     9.0
265  18.110169   94.255224    17.0
266  14.559739   97.793115    15.0
267  24.855093  107.227257    -1.0
268  52.644919   19.976082     6.0
269   8.419566  100.472697     0.0
270  14.910676   25.161436    22.0
271  28.967911   10.192242    14.0
272  30.056637   10.059512    17.0
273  52.491007   17.431749     2.0
274  12.255636   32.379017    18.0
275   8.232023   91.265518    21.0
276  29.258771   11.543397     9.0
277  31.221171   11.119581    17.0
278  52.807035   23.814665     4.0
279   0.187043  104.108000    25.0
280  11.966943   95.641103     9.0
281  11.687683   36.454845    17.0
282  14.343582   31.898793    15.0
283  29.302696    9.301485    14.0
284  29.908828   10.486679    15.0
285  15.753318  100.609329     8.0
286  28.938006    8.753719    14.0
287   4.289328   99.460288    12.0
288  55.728250   15.804297     4.0
289  14.039268   27.247399    24.0
290  10.071631   93.129439    13.0
291  15.312777   32.224920    17.0
292  31.014548   12.133349    17.0
293  25.007609  104.437433    -4.0
294   3.228173   29.606641    11.0
295  51.847807   21.779304     1.0
296  30.954082   10.153644    12.0
297  46.114764   18.992646     7.0
298  13.925492  107.581359    17.0
299   5.104239   30.136334    12.0
300   7.835513  102.318844    17.0
301  29.159626    9.436431    12.0
302   7.706365   97.255243    -0.0
303   6.317306   30.677443     9.0
304  50.055302   21.042745     0.0
305  13.334116   22.025057    16.0
306  12.499108   95.149633    16.0
307   6.242658   29.423650    10.0
308  11.936836  105.790283    10.0
309  32.376787   15.053865    14.0
310   7.677906   32.354314    22.0
311   9.743447   31.315050    16.0
312  47.373145   15.851601     5.0
313  20.158005  106.714896    25.0
314  44.723782   16.450224    -4.0
315  27.138450   10.256209    14.0
316  12.697222   93.812998    11.0
317   4.663898   27.594529    16.0
318   5.259868  106.825838     9.0
319   1.626554  105.687681    19.0
320  20.661209   98.360926     8.0
321  11.693736   86.607038    -2.0
322  11.498656   91.279829    11.0
323  11.676076   27.179953    15.0
324   9.300161   26.977019    17.0
325   6.548993   95.874447    16.0
326  12.405328   87.658719    12.0
327  50.779168   17.287050     4.0
328  29.618635   10.434866    17.0
329  48.048072   18.538624     0.0
330   3.066246   96.035916    11.0
331  12.499788  110.345258     6.0
332  31.145166   12.798711    17.0
333  12.399715   36.123003    20.0
334  13.673266   23.717998    11.0
335   4.452355   99.196845    14.0
336  28.774423    9.224597    16.0
337   6.610361  108.868378     5.0
338  26.832194   11.520829    17.0
339  31.832655   10.692977    17.0
340  10.963013   40.406732    17.0
341   8.250167   32.889525    14.0
342   7.577140   32.968381    16.0
343  31.045671    8.852600    15.0
344  13.730363   24.326537     8.0
345  53.379695   19.193334    -1.0
346  13.106736  105.422438     4.0
347  47.304756   21.475758    -2.0
348   5.630749   28.734366    20.0
349  16.060286   91.597925     8.0
350  24.207489   14.176749    15.0
351  15.159011   32.692725    14.0
352  50.232105   17.416147     7.0
353   6.658612   38.580597    10.0
354  52.914713   21.936128     6.0
355  46.406366   25.894175     2.0
356  53.112620   18.469951     1.0
357  47.105230   22.058154     5.0
358  16.846834   24.512395     9.0
359  47.678632   16.266036    -3.0
360  46.161269   18.125544     2.0
361  50.933750   29.236642     5.0
362  56.569409   17.575105    -1.0
363   9.023373   33.856349    20.0
364   3.643831   90.113874    20.0
365  45.015440   19.801761    -2.0
366  50.744662   18.621917    -1.0
367   6.645780   98.700387     2.0
368  32.060567   10.477578    14.0
369  47.733851   18.165447    -2.0
370  30.395199   14.150522    14.0
371  13.763085   26.070050    14.0
372   8.779101   27.561951    14.0
373  48.188044   20.259769     2.0
374  13.262949   33.441894    13.0
375  15.206965   36.246045    15.0
376  29.992795    7.683271    18.0
377   6.475670   89.145356    10.0
378  10.085086   31.235332    22.0
379  50.839906   16.623533     9.0
380  49.307196   22.088619     8.0
381  13.035714   31.124766    15.0
382  12.031965   25.586534     6.0
383  30.786971   11.790386    16.0
384   7.979390  102.259030     4.0
385  29.042503   12.511512    13.0
386  14.090282   39.759010    21.0
387  48.060281   16.755356     7.0
388  49.927625   20.594254     2.0
389  34.284541   13.455086    16.0
390  10.147027  104.773671     8.0
391   8.651656   27.546389    14.0
392  52.469512   20.219954    -2.0
393  12.828356  113.203301    11.0
394  14.786526   27.560868    14.0
395  12.834872   91.173812    16.0
396  10.679543  106.780515     5.0
397   8.282283   94.723847     4.0
398  16.168440   38.024372    23.0
399  29.607300    9.856797    15.0
400  27.859830    6.948950    14.0
401  52.254161   14.991784     4.0
402  54.324706   12.585066    -0.0
403  31.181310   12.217407    17.0
404  26.220919    9.095387    10.0
405  12.151097  105.690035    14.0
406  18.053549   30.546141    14.0
407  28.003292   11.968645    15.0
408  47.722602   20.451181     3.0
409  29.021121   12.088322    16.0
410  48.917102   23.477989    -1.0
411  47.697957   22.616962     3.0
412  10.738721   24.611495    11.0
413   8.447293   30.681665    16.0
414  13.596502  103.605334    37.0
415   7.885533   32.345456    20.0
416  30.355402    7.329311    16.0
417   4.812672   31.598752    12.0
418  10.573119  116.202610    -3.0
419   7.126371   33.579698    14.0
420  11.819180  105.472760     1.0
421  12.233308   30.304022    17.0
422  30.913506   11.139535    16.0
423  29.654745   11.767320    16.0
424   0.356314   93.435225    14.0
425   9.411992   33.855516    24.0
426  32.556904   10.382198    15.0
427   7.600998   94.384059     9.0
428  10.566868   39.277318    17.0
429   3.897375   35.050336    13.0
430  51.224758   14.892249     5.0
431  11.753450  102.425137     5.0
432  31.455259   10.103892    16.0
433  32.099105    8.929530    18.0
434  10.733440   29.938761    17.0
435   6.986329   31.839889    12.0
436  31.400620    8.848724    15.0
437   9.114986   28.892747    16.0
438  16.005335   28.709281    14.0
439  12.269164   99.088999    11.0
440  31.243620    6.859551    14.0
441   0.756804  103.653591    12.0
442  46.626074   15.397657     6.0
443  14.379671   93.999897     3.0
444  31.681287    8.694752    14.0
445  12.209960   30.895657    20.0
446  -0.010990   96.919689    11.0
447  50.360887   21.543317     4.0
448  31.992534    9.012487    12.0
449  14.803821   88.710989     7.0
450   4.588932  100.171571    13.0
451  11.515210  100.319003     5.0
452   9.365882   29.890782    11.0
453  14.159619   27.577538    22.0
454   3.628025   31.761899    15.0
455  15.694621   91.383950    12.0
456  50.450905   18.909163     2.0
457  49.901916   13.797674     2.0
458  29.504963    9.851133    16.0
459  48.567028   21.436939     3.0
460  10.500898   28.282378    15.0
461  49.616247   17.133379    -3.0
462  30.737347    9.213322    15.0
463  20.327494  106.003617     9.0
464  27.957534   11.416713    15.0
465  15.884681   29.162705    12.0
466  27.280288   11.492507    16.0
467  13.984191   26.972820     9.0
468  28.153534    7.296631    13.0
469   8.540189   26.643161    11.0
470  11.624350   89.863410     0.0
471  16.907855   28.401455    16.0
472  50.222284   24.885847    -2.0
473   2.134574   38.224829    11.0
474   4.221520   97.750299    13.0
475  51.731216   19.390864     3.0
476  26.847216   12.953081    18.0
477  46.612845   18.426439     3.0
478  51.502752   17.067334     2.0
479  13.353963   30.327317    15.0
480  17.216997  106.518961     4.0
481  49.342698   22.488217    -5.0
482  27.760660    7.410637    17.0
483   7.673276   25.940973    12.0
484   4.970890   98.505870    12.0
485   2.956949   33.013366    17.0
486  28.871843    7.439391    17.0
487  12.301258   96.291679    14.0
488  17.622654  100.449960     2.0
489   2.957878   91.500680    18.0
490  51.512140   18.409227    -0.0
491  14.990968   27.306038    16.0
492  44.922606   24.588651     2.0
493  29.838567   10.157270    11.0
494  29.835698   12.234592    16.0
495  30.498767   13.154907    15.0
496   7.192033   27.348396     9.0
497  20.174739   98.147402    29.0
